contest_group_id,contest_name,choice,choice_party,sum
1042,NC STATE SENATE DISTRICT 17,Susan J. Hogarth,LIB,5191
5,ROWAN-SALISBURY BOARD OF EDUCATION SEAT 7,Susan H. Cox,,28605
1189,NC HOUSE OF REPRESENTATIVES DISTRICT 114,Susan C. Fisher,DEM,39243
1037,NC STATE SENATE DISTRICT 12,Susan Byerly,DEM,33426
5,JOHNSTON COUNTY BOARD OF EDUCATION,Summer Hamrick,,23144
4,GRANVILLE COUNTY BOARD OF COMMISSIONERS DISTRICT 3,Sue Hinman,REP,1244
1383,US HOUSE OF REPRESENTATIVES DISTRICT 4,Sue Googe,REP,130161
1168,NC HOUSE OF REPRESENTATIVES DISTRICT 093,Sue Counts,DEM,19433
3,FRANKLIN COUNTY BOARD OF COMMISSIONERS DISTRICT 1,Stuart May,UNA,2377
1202,NC SUPERIOR COURT JUDGE DISTRICT 8A,Stuart L. Stroud,,10925
4,YANCEY COUNTY BOARD OF COMMISSIONERS,Steven Wright,REP,3394
16,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Steven Drew (Write-In),,6
3,SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Steve Woody (Write-In),,28
1,FORSYTH COUNTY REGISTER OF DEEDS,Steve Wood,REP,78208
1091,NC HOUSE OF REPRESENTATIVES DISTRICT 016,Steve Unger,DEM,11656
1023,NC COMMISSIONER OF AGRICULTURE,Steve Troxler,REP,2524445
3,AVERY COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Steve Smith (Write-In),,5
3,CABARRUS COUNTY BOARD OF COMMISSIONERS,Steve Morris,REP,53110
6,SWAIN COUNTY BOARD OF COMMISSIONERS,Steve Moon,DEM,2468
1284,NC DISTRICT COURT JUDGE DISTRICT 15A (MESSICK),Steve Messick,,47105
7,WAKE COUNTY SOIL AND WATER CONSERVATION DISTRICT SUPERVISOR,Steve Mesa (Write-In),,5
6,GASTON COUNTY BOARD OF EDUCATION CHERRYVILLE TOWNSHIP,Steve McGinnis (Write-In),,5
6,RIEGELWOOD SANITARY DISTRICT BOARD MEMBER,Steve Lanier (Write-In),,23
7,DAVIDSON COUNTY BOARD OF COMMISSIONERS,Steve Jarvis,REP,48359
3,DARE COUNTY BOARD OF COMMISSIONERS DISTRICT 3,Steve House,REP,10053
